::1 - - [13/Jun/2026 08:02:56] "GET /dashboard.css?v=2.8 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:02:56] "GET /dashboard.js?v=2.8 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:02:56] "GET /assets/logo.webp HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:02:56] "GET /assets/logo.webp HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:02:56] "GET /dashboard.js?v=2.8 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:02:56] "GET /firebase-config.js HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:05] "GET /dashboard.html HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:05] "GET /dashboard.css?v=2.9 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:05] "GET /style.css HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:05] "GET /dashboard.js?v=2.9 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:05] "GET /assets/logo.webp HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:06] "GET /assets/logo.webp HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:06] "GET /dashboard.js?v=2.9 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:13:06] "GET /firebase-config.js HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:17:05] "GET /dashboard.html HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:17:05] "GET /dashboard.css?v=3.0 HTTP/1.1" 200 -
::1 - - [13/Jun/2026 08:17:05] "GET /dashboard.js?v=3.0 HTTP/1.1" 200 -
::1 - - [14/Jun/2026 08:35:47] "HEAD /dashboard.html HTTP/1.1" 200 -
::1 - - [14/Jun/2026 08:35:47] "HEAD /dashboard.js HTTP/1.1" 200 -
::1 - - [14/Jun/2026 10:40:52] "GET /dashboard.html HTTP/1.1" 200 -
::1 - - [14/Jun/2026 10:40:52] "GET /firebase-config.js HTTP/1.1" 304 -
::1 - - [14/Jun/2026 10:40:52] "GET /dashboard.css HTTP/1.1" 200 -
::1 - - [14/Jun/2026 10:40:52] "GET /dashboard.js?v=2.1 HTTP/1.1" 200 -
::1 - - [14/Jun/2026 10:40:52] "GET /assets/favicon-32x32.png HTTP/1.1" 304 -
::1 - - [14/Jun/2026 10:40:52] "GET /favicon.ico HTTP/1.1" 304 -
::1 - - [14/Jun/2026 10:40:52] "GET /dashboard.css?v=3.5 HTTP/1.1" 200 -
::1 - - [14/Jun/2026 10:40:52] "GET /dashboard.js?v=3.5 HTTP/1.1" 200 -
